pattern_id,stop_sequence,stop_id,zones
1001_0_1,1,30001, Amadora
1001_0_1,2,30003, Amadora
1001_0_1,3,30005, Amadora
1001_0_1,4,30007, Amadora
1001_0_1,5,30009, Amadora
1001_0_1,6,30011, Amadora
1001_0_1,7,30013, Amadora
1001_0_1,8,30015, Amadora
1001_0_1,9,30561, Amadora
1001_0_1,10,30019, Amadora
1001_0_1,11,30021, Amadora
1001_0_1,12,30775, Amadora
1001_0_1,13,30025, Amadora
1001_0_1,14,30027, Amadora
1001_0_1,15,30029, Amadora
1001_0_1,16,30031, Amadora
1001_0_1,17,30033, Amadora
1001_0_1,18,30035, Amadora
1001_0_1,19,30037, Amadora
1001_0_1,20,30039, Amadora
1001_0_1,21,30041, Amadora
1001_0_1,22,30043, Amadora
1001_0_1,23,30844, Amadora
1001_0_2,1,30844, Amadora
1001_0_2,2,30047, Amadora
1001_0_2,3,30049, Amadora
1001_0_2,4,30040, Amadora
1001_0_2,5,30051, Amadora
1001_0_2,6,30052, Amadora
1001_0_2,7,30038, Amadora
1001_0_2,8,30053, Amadora
1001_0_2,9,30055, Amadora
1001_0_2,10,30032, Amadora
1001_0_2,11,30030, Amadora
1001_0_2,12,30028, Amadora
1001_0_2,13,30026, Amadora
1001_0_2,14,30024, Amadora
1001_0_2,15,30022, Amadora
1001_0_2,16,30020, Amadora
1001_0_2,17,30018, Amadora
1001_0_2,18,30016, Amadora
1001_0_2,19,30014, Amadora
1001_0_2,20,30012, Amadora
1001_0_2,21,30010, Amadora
1001_0_2,22,30059, Amadora
1001_0_2,23,30061, Amadora
1001_0_2,24,30001, Amadora
1002_0_1,1,30064, Amadora
1002_0_1,2,30752, Amadora
1002_0_1,3,30063, Amadora
1002_0_1,4,30116, Amadora
1002_0_1,5,30067, Amadora
1002_0_1,6,30069, Amadora
1002_0_1,7,30071, Amadora
1002_0_1,8,30073, Amadora
1002_0_1,9,30075, Amadora
1002_0_1,10,30077, Amadora
1002_0_1,11,30079, Amadora
1002_0_1,12,30081, Amadora
1002_0_1,13,30083, Amadora
1002_0_1,14,30085, Amadora
1002_0_1,15,30861, Amadora
1002_0_1,16,30087, Amadora
1002_0_1,17,30089, Amadora
1002_0_1,18,30877, Amadora
1002_0_1,19,30876, Amadora
1002_0_1,20,30093, Amadora
1002_0_1,21,30095, Amadora
1002_0_1,22,30097, Amadora
1002_0_1,23,30843, Amadora
1002_0_2,1,30843, Amadora
1002_0_2,2,30101, Amadora
1002_0_2,3,30103, Amadora
1002_0_2,4,30105, Amadora
1002_0_2,5,30091, Amadora
1002_0_2,6,30107, Amadora
1002_0_2,7,30109, Amadora
1002_0_2,8,30088, Amadora
1002_0_2,9,30111, Amadora
1002_0_2,10,30086, Amadora
1002_0_2,11,30084, Amadora
1002_0_2,12,30113, Amadora
1002_0_2,13,30080, Amadora
1002_0_2,14,30078, Amadora
1002_0_2,15,30076, Amadora
1002_0_2,16,30074, Amadora
1002_0_2,17,30072, Amadora
1002_0_2,18,30070, Amadora
1002_0_2,19,30068, Amadora
1002_0_2,20,30117, Amadora
1002_0_2,21,30064, Amadora
1003_0_1,1,30119,Amadora
1003_0_1,2,30121, Amadora
1003_0_1,3,30123, Amadora
1003_0_1,4,30125, Amadora
1003_0_1,5,30127, Amadora
1003_0_1,6,30129, Amadora
1003_0_1,7,30131, Amadora
1003_0_1,8,30133, Amadora
1003_0_1,9,30168,Amadora
1003_0_1,10,30186,Amadora
1003_0_1,11,30184,Amadora
1003_0_1,12,30182,Amadora
1003_0_1,13,30180,Amadora
1003_0_1,14,30245,Amadora
1003_0_1,15,30167,Amadora
1003_0_1,16,30135,Amadora
1003_0_1,17,30137,Amadora
1003_0_1,18,30141,Amadora
1003_0_1,19,30143,Amadora
1003_0_1,20,30145,Amadora
1003_0_1,21,30147,Amadora
1003_0_1,22,30149,Amadora
1003_0_1,23,30151,Amadora
1003_0_1,24,30153,Amadora
1003_0_1,25,30157,Amadora
1003_0_2,1,30157, Amadora
1003_0_2,2,30154, Amadora
1003_0_2,3,30152, Amadora
1003_0_2,4,30159, Amadora
1003_0_2,5,30161, Amadora
1003_0_2,6,30146, Amadora
1003_0_2,7,30144, Amadora
1003_0_2,8,30142, Amadora
1003_0_2,9,30163, Amadora
1003_0_2,10,30138, Amadora
1003_0_2,11,30177,Amadora
1003_0_2,12,30179,Amadora
1003_0_2,13,30181,Amadora
1003_0_2,14,30183,Amadora
1003_0_2,15,30185,Amadora
1003_0_2,16,30167,Amadora
1003_0_2,17,30134,Amadora
1003_0_2,18,30132,Amadora
1003_0_2,19,30130,Amadora
1003_0_2,20,30128,Amadora
1003_0_2,21,30126,Amadora
1003_0_2,22,30124,Amadora
1003_0_2,23,30169,Amadora
1003_0_2,24,30171,Amadora
1003_0_2,25,30119,Amadora
1004_0_3,1,30842,Amadora
1004_0_3,2,30097,Amadora
1004_0_3,3,30329,Amadora
1004_0_3,4,30129,Amadora
1004_0_3,5,30131,Amadora
1004_0_3,6,30133,Amadora
1004_0_3,7,30168,Amadora
1004_0_3,8,30187,Amadora
1004_0_3,9,30189,Amadora
1004_0_3,10,30191,Amadora
1004_0_3,11,30226,Amadora
1004_0_3,12,30227,Amadora
1004_0_3,13,30222,Amadora
1004_0_3,14,30229,Amadora
1004_0_3,15,30218,Amadora
1004_0_3,16,30216,Amadora
1004_0_3,17,30214,Amadora
1004_0_3,18,30231,Amadora
1004_0_3,19,30233,Amadora
1004_0_3,20,30235,Amadora
1004_0_3,21,30206,Amadora
1004_0_3,22,30204,Amadora
1004_0_3,23,30237,Amadora
1004_0_3,24,30239,Amadora
1004_0_3,25,30198,Amadora
1004_0_3,26,30196,Amadora
1004_0_3,27,30241,Amadora
1004_0_3,28,30243,Amadora
1004_0_3,29,30188,Amadora
1004_0_3,30,30167,Amadora
1004_0_3,31,30134,Amadora
1004_0_3,32,30132,Amadora
1004_0_3,33,30130,Amadora
1004_0_3,34,30330,Amadora
1004_0_3,35,30343,Amadora
1004_0_3,36,30842,Amadora
1005_0_1,1,30119, Amadora
1005_0_1,2,30101, Amadora
1005_0_1,3,30103, Amadora
1005_0_1,4,30173, Amadora
1005_0_1,5,30175, Amadora
1005_0_1,6,30136, Amadora
1005_0_1,7,30168, Amadora
1005_0_1,8,30186, Amadora
1005_0_1,9,30184, Amadora
1005_0_1,10,30182, Amadora
1005_0_1,11,30854, Amadora
1005_0_1,12,30251, Amadora
1005_0_1,13,30253, Amadora
1005_0_2,1,30253, Amadora
1005_0_2,2,30851, Amadora
1005_0_2,3,30255, Amadora
1005_0_2,4,30855, Amadora
1005_0_2,5,30181, Amadora
1005_0_2,6,30183, Amadora
1005_0_2,7,30185, Amadora
1005_0_2,8,30167, Amadora
1005_0_2,9,30135, Amadora
1005_0_2,10,30247, Amadora
1005_0_2,11,30249, Amadora
1005_0_2,12,30171, Amadora
1005_0_2,13,30119, Amadora
1006_0_1,1,30119, Amadora
1006_0_1,2,30101, Amadora
1006_0_1,3,30103, Amadora
1006_0_1,4,30173, Amadora
1006_0_1,5,30175, Amadora
1006_0_1,6,30177, Amadora
1006_0_1,7,30179, Amadora
1006_0_1,8,30181, Amadora
1006_0_1,9,30183, Amadora
1006_0_1,10,30185, Amadora
1006_0_1,11,30187, Amadora
1006_0_1,12,30189, Amadora
1006_0_1,13,30191, Amadora
1006_0_1,14,30193, Amadora
1006_0_1,15,30195, Amadora
1006_0_1,16,30197, Amadora
1006_0_1,17,30199, Amadora
1006_0_1,18,30201, Amadora
1006_0_1,19,30203, Amadora
1006_0_1,20,30205, Amadora
1006_0_1,21,30207, Amadora
1006_0_1,22,30209, Amadora
1006_0_1,23,30211, Amadora
1006_0_1,24,30213, Amadora
1006_0_1,25,30215, Amadora
1006_0_1,26,30217, Amadora
1006_0_1,27,30219, Amadora
1006_0_1,28,30221, Amadora
1006_0_1,29,30223, Amadora
1006_0_1,30,30225, Amadora
1006_0_1,31,30257, Amadora
1006_0_1,32,30259, Amadora
1006_0_1,33,30261, Amadora
1006_0_1,34,30263, Amadora
1006_0_1,35,30265, Amadora
1006_0_1,36,30267, Amadora
1006_0_1,37,30269, Amadora
1006_0_1,38,30271, Amadora
1006_0_1,39,30793, Amadora
1006_0_1,40,30273, Amadora
1006_0_2,1,30273, Amadora
1006_0_2,2,30851, Amadora
1006_0_2,3,30272, Amadora
1006_0_2,4,30270, Amadora
1006_0_2,5,30275, Amadora
1006_0_2,6,30266, Amadora
1006_0_2,7,30261, Amadora
1006_0_2,8,30263, Amadora
1006_0_2,9,30277, Amadora
1006_0_2,10,30279, Amadora
1006_0_2,11,30226, Amadora
1006_0_2,12,30227, Amadora
1006_0_2,13,30222, Amadora
1006_0_2,14,30229, Amadora
1006_0_2,15,30218, Amadora
1006_0_2,16,30216, Amadora
1006_0_2,17,30214, Amadora
1006_0_2,18,30231, Amadora
1006_0_2,19,30233, Amadora
1006_0_2,20,30235, Amadora
1006_0_2,21,30206, Amadora
1006_0_2,22,30204, Amadora
1006_0_2,23,30237, Amadora
1006_0_2,24,30239, Amadora
1006_0_2,25,30198, Amadora
1006_0_2,26,30196, Amadora
1006_0_2,27,30241, Amadora
1006_0_2,28,30243, Amadora
1006_0_2,29,30188, Amadora
1006_0_2,30,30186, Amadora
1006_0_2,31,30184, Amadora
1006_0_2,32,30182, Amadora
1006_0_2,33,30180, Amadora
1006_0_2,34,30245, Amadora
1006_0_2,35,30167, Amadora
1006_0_2,36,30135, Amadora
1006_0_2,37,30247, Amadora
1006_0_2,38,30249, Amadora
1006_0_2,39,30171, Amadora
1006_0_2,40,30119, Amadora
1006_1_1,1,30119, Amadora
1006_1_1,2,30101, Amadora
1006_1_1,3,30103, Amadora
1006_1_1,4,30173, Amadora
1006_1_1,5,30175, Amadora
1006_1_1,6,30177, Amadora
1006_1_1,7,30179, Amadora
1006_1_1,8,30181, Amadora
1006_1_1,9,30183, Amadora
1006_1_1,10,30185, Amadora
1006_1_1,11,30187, Amadora
1006_1_1,12,30189, Amadora
1006_1_1,13,30191, Amadora
1006_1_1,14,30193, Amadora
1006_1_1,15,30195, Amadora
1006_1_1,16,30197, Amadora
1006_1_1,17,30199, Amadora
1006_1_1,18,30201, Amadora
1006_1_1,19,30203, Amadora
1006_1_1,20,30205, Amadora
1006_1_1,21,30207, Amadora
1006_1_1,22,30209, Amadora
1006_1_1,23,30211, Amadora
1006_1_1,24,30213, Amadora
1006_1_1,25,30215, Amadora
1006_1_1,26,30217, Amadora
1006_1_1,27,30219, Amadora
1006_1_1,28,30221, Amadora
1006_1_1,29,30223, Amadora
1006_1_1,30,30225, Amadora
1006_1_2,1,30226, Amadora
1006_1_2,2,30227, Amadora
1006_1_2,3,30222, Amadora
1006_1_2,4,30229, Amadora
1006_1_2,5,30218, Amadora
1006_1_2,6,30216, Amadora
1006_1_2,7,30214, Amadora
1006_1_2,8,30231, Amadora
1006_1_2,9,30233, Amadora
1006_1_2,10,30235, Amadora
1006_1_2,11,30206, Amadora
