id,tripId,scheduleRelationship,routeId,directionId,latitude,longitude,currentStopSequence,currentStatus,timestamp,stopId,id,licensePlate
2720_760,33863_2Z760_1_7_v_32_171_ASC,0,171,0,38.71617889404297,-9.136630058288574,7,2,1691159074,809,2720,92-XQ-28
2725_727,33902_12Z727_1_7_v_7_103_DESC,0,103,1,38.733978271484375,-9.163649559020996,26,2,1691159068,6125,2725,92-XQ-30
2654_727,33903_13Z727_1_7_v_7_103_DESC,0,103,1,38.70661163330078,-9.174249649047852,18,2,1691159065,12111,2654,05-VZ-69
2721_727,33904_14Z727_1_7_v_5_103_DESC,0,103,1,38.69742965698242,-9.204500198364258,11,2,1691159069,9601,2721,92-XQ-37
2762_727,33906_16Z727_1_7_v_8_103_DESC,0,103,1,38.70940017700195,-9.210610389709473,3,2,1691159048,12405,2762,AH-38-ND
2758_727,33900_10Z727_1_7_v_7_103_DESC,0,103,1,38.73435974121094,-9.163399696350098,26,2,1691159072,6125,2758,AH-36-ND
2653_727,33898_8Z727_1_7_v_7_103_DESC,0,103,1,38.73807907104492,-9.155050277709961,28,2,1691159069,1504,2653,05-VZ-52
1775_717,33595_9Z717_1_7_v_10_170_DESC,0,170,1,38.7772102355957,-9.147529602050781,16,2,1691159056,6015,1775,53-HX-08
1780_717,33592_8Z717_1_7_v_10_170_DESC,0,170,1,38.7559814453125,-9.153949737548828,26,2,1691159067,5806,1780,63-HX-18
1759_717,33600_11Z717_1_7_v_10_170_DESC,0,170,1,38.79827880859375,-9.150199890136719,2,2,1691159050,16003,1759,34-HU-25
1714_717,33597_10Z717_1_7_v_10_170_DESC,0,170,1,38.77830123901367,-9.1485595703125,13,2,1691159053,11509,1714,69-AL-77
282_28E,33859_41Z28E_1_7_v_29_75_DESC,0,75,1,38.7230110168457,-9.135330200195312,7,2,1691159062,706,282,AI-47-OJ
2334_708,33598_8Z708_1_7_v_7_100_DESC,0,100,1,38.74790954589844,-9.131150245666504,32,2,1691159066,7304,2334,53-53-ZJ
2309_708,33599_9Z708_1_7_v_8_100_DESC,0,100,1,38.761558532714844,-9.1141996383667,23,2,1691159054,8433,2309,83-15-ZM
1715_708,33601_10Z708_1_7_v_9_100_DESC,0,100,1,38.778751373291016,-9.095330238342285,11,2,1691159061,50125,1715,69-AL-78
272_734,33649_3Z734_1_7_v_19_205_DESC,0,205,1,38.71495819091797,-9.127960205078125,5,2,1691159052,2130,272,AH-26-IN
270_734,33647_1Z734_1_7_v_18_205_DESC,0,205,1,38.715049743652344,-9.136529922485352,16,2,1691159052,805,270,AH-54-CZ
2787_746,34083_5Z746_1_7_v_10_108_DESC,0,108,1,38.73939895629883,-9.167460441589355,16,2,1691159059,1620,2787,AI-55-TL
2785_746,34253_83Z746_1_7_v_1_108_DESC,0,108,1,38.75334930419922,-9.208450317382812,0,2,1691159055,,2785,AI-05-BT
2782_746,34248_81Z746_1_7_v_1_108_DESC,0,108,1,38.75265884399414,-9.20956039428711,0,2,1691159067,6,2782,AI-99-BS
2775_746,34079_1Z746_1_7_v_14_108_DESC,0,108,1,38.74742889404297,-9.190099716186523,8,2,1691159072,10803,2775,AH-31-ND
2406_716,34077_8Z716_1_7_v_14_164_DESC,0,164,1,38.738800048828125,-9.153300285339355,18,2,1691159045,1504,2406,50-AL-09
2446_716,34070_1Z716_1_7_v_16_164_DESC,0,164,1,38.7411003112793,-9.168450355529785,11,2,1691159052,10705,2446,44-BC-32
2979_52B,33332_1Z52B_1_7_v_8_244_CIRC,0,244,0,38.73836135864258,-9.15466022491455,10,2,1691159037,1513,2979,30-VM-17
2989_52B,33333_2Z52B_1_7_v_8_244_CIRC,0,244,0,38.735931396484375,-9.157959938049316,18,2,1691159074,50043,2989,29-VM-85
2740_755,33635_1Z755_1_7_v_10_118_ASC,0,118,0,38.74911117553711,-9.102860450744629,4,2,1691159051,50477,2740,AG-43-EI
