school_id,school_name,coordinates_lat,coordinates_lon
200098,"Escola Básica de A-das-Lebres, Loures",38.852917,-9.1672815
200116,"Escola Básica de A-dos-Bispos, Vila Franca de Xira",38.9559746,-9.0089171
200578,"Escola Básica de Foros da Craveira do Norte, Afonsos, Montijo",38.6795322,-8.598162
200840,"Escola Básica de Aiana de Cima, Sesimbra",38.4721939,-9.1094903
201698,"Escola Básica de Aldeia do Meco, Sesimbra",38.4594619,-9.1064973
202241,"Escola Básica de Algeruz-Lau, Palmela",38.6034019,-8.817577100000001
202332,"Escola Básica de Algueirão, Sintra",38.7995703,-9.3144114
203993,"Escola Básica n.º 1 de Apelação, Loures",38.8241313,-9.1214193
204067,"Escola Básica de Arcena, Vila Franca de Xira",38.9064455,-9.050106
205357,"Escola Básica de Novos Trilhos, Atalaia, Montijo",38.7026658,-8.9492966
206246,"Escola Básica do Bairro Alentejano, Palmela",38.5721984,-8.8806914
207287,"Escola Básica de Batudes, Palmela",38.5706008,-8.9049627
208942,"Jardim de Infância de Brejos, Moita",38.6431427,-8.9918692
208966,"Escola Básica de Brejos do Clérigo, Setúbal",38.5260369,-8.8952871
209405,"Escola Básica de Cabanas, Palmela",38.5704425,-9.0004986
210031,"Escola Básica do Cataventos da Paz, Cacilhas, Almada",38.6794817,-9.151187
211278,"Escola Básica de Caparide, Cascais",38.7138304,-9.3438701
212672,"Jardim de Infância do Carvalhinho, Moita",38.6548966,-8.9920651
213640,"Jardim de Infância do Casal de Bolinhos, Brejos de Azeitão, Setúbal",38.53836829999999,-9.0303493
213822,"Escola Básica do Casal do Marco, Seixal",38.6091276,-9.0912357
214255,"Escola Básica de Casaínhos, Loures",38.8448564,-9.1621886
214383,"Escola Básica da Quinta de São Sebastião, Castanheira do Ribatejo, Vila Franca de Xira",38.9952974,-8.9768844
216770,Centro Educativo Navarro Paiva,38.7420779,-9.1751454
217785,"Escola Básica de Cotovios, Vila Franca de Xira",38.9559587,-8.999718999999999
219915,"Escola Básica da Freguesia da Encarnação, Encarnação, Mafra",38.939506,-9.3360662
220085,"Escola Básica da Ericeira, Mafra",38.9661486,-9.405370099999999
221028,"Escola Básica Fausto Cardoso de Figueiredo, Estoril, Cascais",38.7082895,-9.404551999999999
