school_id,school_name,CODUOME,NOMEUO,SEDE,address,LOCALIDADE,municipality_dgeec,DISTRITO,postal_code,CODDSR,CODQZP,GRUPONATUREZAINST,CICLO,FAX,URL,EMAIL,TELEFONE1,TELEFONE2
521980,Centro Comunitário de Torres Vedras,,,N,Estrada Casal da Mina nº1,TORRES VEDRAS,Torres Vedras,Lisboa,2560-613,Lisboa e Vale do Tejo,QZP6,Privado,Pré-escolar,261339434,,ct.ctorresvedras@escolas.min-edu.pt; ,261339430,
518347,Jardim de Infância da Associação de Solidariedade e Promoção de A-dos-Cunhados ,,,S,"Rua da Escola Velha , n.º 1",A DOS CUNHADOS,Torres Vedras,Lisboa,2560-009,Lisboa e Vale do Tejo,QZP6,Privado,Pré-escolar,261982757,http://planeta.clix.pt/aspa.ipss/,sadministrativos@aspa-edu.pt; ,261981529,
279614,"Escola Básica Carlos Bernardes, Torres Vedras",171517,"Agrupamento de Escolas Madeira Torres, Torres Vedras",N,"Estrada Municipal, 619",TURCIFAL,Torres Vedras,Lisboa,2565-800,Lisboa e Vale do Tejo,QZP6,Publico,Pré-escolar;1º Ciclo,,,eb1.turcifal@escolas.min-edu.pt; ,261952662,
344552,"Escola Básica de Freiria, Torres Vedras",170616,"Agrupamento de Escolas de São Gonçalo, Torres Vedras",N,R. da Escola Freiria,FREIRIA,Torres Vedras,Lisboa,2565-307,Lisboa e Vale do Tejo,QZP6,Publico,2º Ciclo;3º Ciclo,261960334,,eb23.freiria@escolas.min-edu.pt; ,261960333,
341630,"Escola Básica Gaspar Campello, Torres Vedras",170987,"Agrupamento de Escolas Padre Vítor Melícias, Torres Vedras",N,Av. 21 de Junho,CAMPELOS,Torres Vedras,Lisboa,2565-007,Lisboa e Vale do Tejo,QZP6,Publico,Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo,261438211,http://www.escolascampelos.com,eb23.gasparcampello@escolas.min-edu.pt; ,261438130,
522004,Jardim de Infância Centro Infantil da Sagrada Família - Fundação Lar de São Francisco,,,N,Rua da Associação - Varatojo,TORRES VEDRAS,Torres Vedras,Lisboa,2560-237,Lisboa e Vale do Tejo,QZP6,Privado,Pré-escolar,261338369,,c.infantil@fundacaolarsaofrancisco.pt; ,261324491,
232087,"Escola Básica n.º 1 do Maxial, Torres Vedras",170963,"Agrupamento de Escolas Henriques Nogueira, Torres Vedras",N,R. Azinhaga da Sociedade,MAXIAL,Torres Vedras,Lisboa,2565-453,Lisboa e Vale do Tejo,QZP6,Publico,Pré-escolar;1º Ciclo,,,eb1.maxial@escolas.min-edu.pt; ,261911842,
502753,Mundo da Criança,,,N,Rua Nossa Senhora da Penha,TORRES VEDRAS,Torres Vedras,Lisboa,2560-241,Lisboa e Vale do Tejo,QZP6,Privado,Pré-escolar;1º Ciclo;2º Ciclo,261318159,http://www.mundodacrianca.pt,ext.omdctorresvedras@escolas.min-edu.pt; ,261318150,
267170,"Escola Básica da Póvoa de Penafirme, Torres Vedras",170987,"Agrupamento de Escolas Padre Vítor Melícias, Torres Vedras",N,Rua dos Vales,A DOS CUNHADOS,Torres Vedras,Lisboa,2560-046,Lisboa e Vale do Tejo,QZP6,Publico,Pré-escolar;1º Ciclo,261988224,,eb1.povoapenafirme@escolas.min-edu.pt; ,261931353,
632211,"Jardim de Infância de São Domingos de Carmões, Torres Vedras",170616,"Agrupamento de Escolas de São Gonçalo, Torres Vedras",N,"R. da Igreja, n.º 2",CARMÕES,Torres Vedras,Lisboa,2565-116,Lisboa e Vale do Tejo,QZP6,Publico,Pré-escolar,,,ji.sdomingoscarmoes@escolas.min-edu.pt; ,261743775,
645692,"Escola Básica de Orjariça, Torres Vedras",170987,"Agrupamento de Escolas Padre Vítor Melícias, Torres Vedras",N,R. Principal,TORRES VEDRAS,Torres Vedras,Lisboa,2560-251,Lisboa e Vale do Tejo,QZP6,Publico,1º Ciclo,,,,,
282042,"Escola Básica do Varatojo, Torres Vedras",170616,"Agrupamento de Escolas de São Gonçalo, Torres Vedras",N,R. Padre José Miguel Roque,TORRES VEDRAS,Torres Vedras,Lisboa,2560-237,Lisboa e Vale do Tejo,QZP6,Publico,Pré-escolar;1º Ciclo,,,eb1.varatojo@escolas.min-edu.pt; ,261324811,
508550,Jardim Escola João De Deus Torres Vedras,,,N,Topo Da Rua Henriques Nogueira,TORRES VEDRAS,Torres Vedras,Lisboa,2560-343,Lisboa e Vale do Tejo,QZP6,Privado,Pré-escolar;1º Ciclo,261311534,,,925486644,
342490,"Escola Básica Padre Francisco Soares, Torres Vedras",171517,"Agrupamento de Escolas Madeira Torres, Torres Vedras",N,Pç. Dr. Francisco Sá Carneiro - Apartado 336,TORRES VEDRAS,Torres Vedras,Lisboa,2560-295,Lisboa e Vale do Tejo,QZP6,Publico,Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo,261314866,,eb23.pfsoares@escolas.min-edu.pt; ,261319120,
802824,Escola Profissional de Penafirme,,,N,Póvoa de Penafirme,A DOS CUNHADOS,Torres Vedras,Lisboa,2560-046,Lisboa e Vale do Tejo,QZP6,Privado,Profissional,261931002,http://www.externato-penafirme.edu.pt,ep.penafirme@escolas.min-edu.pt; ,261930700,
288196,"Escola Básica do Barro, Torres Vedras",170616,"Agrupamento de Escolas de São Gonçalo, Torres Vedras",N,Barro - T.Vedras (S. Pedro e S. Tiago),TORRES VEDRAS,Torres Vedras,Lisboa,2560-241,Lisboa e Vale do Tejo,QZP6,Publico,Pré-escolar;1º Ciclo,,,eb1.btvspsantiago@escolas.min-edu.pt; ,261316849,
803081,Escola de Serviços e Comércio do Oeste,,,N,Urb. Hilarião - Rua da Liberdade,TORRES VEDRAS,Torres Vedras,Lisboa,2560-374,Lisboa e Vale do Tejo,QZP6,Privado,Profissional,261339921,http://www.sefo.pt,ep.scomerciooeste@escolas.min-edu.pt; ,261339920,
241969,Escola Básica de Torres Vedras,170616,"Agrupamento de Escolas de São Gonçalo, Torres Vedras",N,R. Henriques Nogueira,TORRES VEDRAS,Torres Vedras,Lisboa,2560-341,Lisboa e Vale do Tejo,QZP6,Publico,1º Ciclo,261326234,,eb1.torresvedras@escolas.min-edu.pt; ,261322208,
