pattern_id;stop_sequence;stop_id;zones
2002_0_1;0;070040;Loures
2002_0_1;1;070001;Loures
2002_0_1;2;070003;Loures
2002_0_1;3;070006;Loures
2002_0_1;4;070008;Loures
2002_0_1;5;070010;Loures
2002_0_1;6;070011;Loures
2002_0_1;7;070014;Loures
2002_0_1;8;070015;Loures
2002_0_1;9;070017;Loures
2002_0_1;10;072217;Loures
2002_0_1;11;070020;Loures
2002_0_1;12;070022;Loures
2002_0_1;13;070024;Loures
2002_0_1;14;070025;Loures
2002_0_1;15;070042;Loures
2002_0_1;16;070027;Loures
2002_0_1;17;070029;Loures
2002_0_1;18;070032;Loures
2002_0_1;19;070250;Loures
2002_0_1;20;070043;Loures
2002_0_2;0;070043;Loures
2002_0_2;1;070283;Loures
2002_0_2;2;070035;Loures
2002_0_2;3;070037;Loures
2002_0_2;4;070028;Loures
2002_0_2;5;070041;Loures
2002_0_2;6;070026;Loures
2002_0_2;7;070023;Loures
2002_0_2;8;070021;Loures
2002_0_2;9;070019;Loures
2002_0_2;10;072218;Loures
2002_0_2;11;070018;Loures
2002_0_2;12;070016;Loures
2002_0_2;13;070013;Loures
2002_0_2;14;070012;Loures
2002_0_2;15;070009;Loures
2002_0_2;16;070007;Loures
2002_0_2;17;070005;Loures
2002_0_2;18;070004;Loures
2002_0_2;19;070002;Loures
2002_0_2;20;070039;Loures
2003_0_3;0;072212;Loures
2003_0_3;1;070061;Loures
2003_0_3;2;070059;Loures
2003_0_3;3;070045;Loures
2003_0_3;4;070047;Loures
2003_0_3;5;070050;Loures
2003_0_3;6;070051;Loures
2003_0_3;7;070054;Loures
2003_0_3;8;070055;Loures
2003_0_3;9;070058;Loures
2003_0_3;10;070060;Loures
2003_0_3;11;070062;Loures
2003_0_3;12;072213;Loures
2003_1_3;0;072212;Loures
2003_1_3;1;070061;Loures
2003_1_3;2;070059;Loures
2003_1_3;3;070045;Loures
2003_1_3;4;070047;Loures
2003_1_3;5;071574;Loures
2003_1_3;6;071575;Loures
2003_1_3;7;071573;Loures
2003_1_3;8;070050;Loures
2003_1_3;9;070051;Loures
2003_1_3;10;070054;Loures
2003_1_3;11;070055;Loures
2003_1_3;12;070058;Loures
2003_1_3;13;070060;Loures
2003_1_3;14;070062;Loures
2003_1_3;15;072213;Loures
2004_0_1;0;070066;Loures
2004_0_1;1;072207;Loures
2004_0_1;2;070067;Loures
2004_0_1;3;072209;Loures
2004_0_1;4;070070;Loures
2004_0_1;5;070071;Loures
2004_0_1;6;072203;Loures
2004_0_1;7;072205;Loures
2004_0_1;8;070024;Loures
2004_0_1;9;070025;Loures
2004_0_1;10;070042;Loures
2004_0_1;11;070027;Loures
2004_0_1;12;070029;Loures
2004_0_1;13;070032;Loures
2004_0_1;14;070250;Loures
2004_0_1;15;070043;Loures
2004_0_2;0;070043;Loures
2004_0_2;1;070283;Loures
2004_0_2;2;070035;Loures
2004_0_2;3;070037;Loures
2004_0_2;4;070028;Loures
2004_0_2;5;070041;Loures
2004_0_2;6;070026;Loures
2004_0_2;7;070023;Loures
2004_0_2;8;072206;Loures
2004_0_2;9;072204;Loures
2004_0_2;10;072211;Loures
2004_0_2;11;070069;Loures
2004_0_2;12;072210;Loures
2004_0_2;13;070068;Loures
2004_0_2;14;072208;Loures
2004_0_2;15;070065;Loures
2006_0_3;0;070135;Loures
2006_0_3;1;070137;Loures
2006_0_3;2;070139;Loures
2006_0_3;3;070141;Loures
2006_0_3;4;070143;Loures
2006_0_3;5;070145;Loures
2006_0_3;6;070147;Loures
2006_0_3;7;070149;Loures
2006_0_3;8;070151;Loures
2006_0_3;9;070153;Loures
2006_0_3;10;070156;Loures
2006_0_3;11;070157;Loures
2006_0_3;12;070159;Loures
2006_0_3;13;070162;Loures
2006_0_3;14;070160;Loures
2006_0_3;15;070158;Loures
2006_0_3;16;070155;Loures
2006_0_3;17;070154;Loures
2006_0_3;18;070163;Loures
2006_0_3;19;070165;Loures
2006_0_3;20;070167;Loures
2006_0_3;21;070169;Loures
2006_0_3;22;070140;Loures
2006_0_3;23;070138;Loures
2006_0_3;24;070136;Loures
2006_0_3;25;070177;Loures
2006_0_3;26;070180;Loures
2006_0_3;27;070181;Loures
2006_0_3;28;070183;Loures
2006_0_3;29;070185;Loures
2006_0_3;30;070187;Loures
2006_0_3;31;070189;Loures
2006_0_3;32;070191;Loures
2006_0_3;33;070193;Loures
2006_0_3;34;070203;Loures
2006_0_3;35;070205;Loures
2006_0_3;36;070207;Loures
2006_0_3;37;070179;Loures
2006_0_3;38;070178;Loures
2006_0_3;39;071273;Loures
2008_0_3;0;072214;Loures
2008_0_3;1;070175;Loures
2008_0_3;2;072422;Loures
2008_0_3;3;070171;Loures
2008_0_3;4;070174;Loures
2008_0_3;5;070136;Loures
2008_0_3;6;070177;Loures
2008_0_3;7;070180;Loures
2008_0_3;8;070208;Loures
2008_0_3;9;070195;Loures
2008_0_3;10;070198;Loures
2008_0_3;11;070199;Loures
2008_0_3;12;072229;Loures
2008_0_3;13;072227;Loures
2008_0_3;14;072225;Loures
