stop_id,stop_name,stop_lat,stop_lon
020025,ALMADA (R CAPITÃO LEITÃO N3B),38.682900,-9.157810
020159,CH CAP ESTR B VISTA 206 (X) QTA NOVA,38.631200,-9.193160
020266,Bº F FOMENTO (R 3 VALES N45),38.668800,-9.185070
020297,BANÁTICA (TERMINAL) R CONS MAN LUIS FER,38.677800,-9.196970
020307,MTE CAPARICAAV TORRADO SILVA (X) FOMEGA,38.665500,-9.195130
020352,LAZARIM R S MACÁRIO (X) R HUMB MADEIRA,38.642400,-9.200430
020353,R DO AREEIRO COLÉGIO SOSSEGO MAMÃ,38.650881,-9.200990
020356,MTE CAPARICA IC32 (X) R AREEIRO,38.656300,-9.201370
020395,TORRE CAPARICA (EN 10-1) (X) FACULDADE,38.663800,-9.205240
020409,LAZARIM (EN10-1) (X) SOBREDA,38.646900,-9.199130
020431,(IC20) SERRADO DPS POSTO ABASTECINENTO,38.658600,-9.197000
020443,C CAPARICA (AV G H DELGADO) PARQUE,38.634500,-9.230370
020444,C CAPARICA (AV G H DELGADO) PARQUE,38.634400,-9.230400
020483,FONTE TELHA (BRIGADA FISCAL),38.576000,-9.193550
020485,FONTE TELHA (PRAIA),38.572400,-9.195210
020486,FONTE TELHA (PRAIA),38.572400,-9.195250
020534,COVA PIEDADE (LGO 5 OUTUBRO) JARDIM,38.670700,-9.157500
020537,COVA PIEDADE CARAMUJO (PARQUE TST/ETAR),38.674100,-9.153620
020540,TRAFARIA N377-1 (X) R 1º MAIO (ESCOLA),38.669800,-9.232800
020550,QTA RAPOSEIRA (R BENTO GONC N78),38.663700,-9.236370
020556,LAZARIM EN10-1 (X) COSTA (CAMPO FLORES),38.647400,-9.201680
020616,SOBREDA (R MANUEL PARADA) ESCOLA SEC,38.648100,-9.186340
020739,CV PIEDADER ANT J GOMES64B (LGO 5 OUT),38.671400,-9.156700
020741,COVA PIEDADE (ELVAS) HOSPITAL,38.673200,-9.154680
020755,PRAGAL (HOSPITAL G ORTA) TERMINAL,38.674700,-9.176100
020756,PRAGAL (HOSPITAL G ORTA) TERMINAL,38.674700,-9.176100
020757,HGO HELIPORTO,38.674100,-9.177190
020758,HGO HELIPORTO,38.674100,-9.177160
020759,PRAGAL (HOSPITAL G ORTA) TERMINAL,38.674600,-9.175050
020769,PRAGAL ESTAÇÃO INT (AV JOSÉ CARD PIRES),38.666000,-9.180930
020771,INFRAESTRUTURAS DE PORTUGAL,38.677300,-9.176700
020781,RUA FLOR BELA ESPANCA,38.620800,-9.192610
020782,RUA FLORBELA ESPANCA,38.620822,-9.192636
020783,RUA DOM LUÍS VASCONCELOS,38.621419,-9.189515
020784,RUA DOM LUÍS VASCONCELOS,38.621389,-9.189541
020799,FONTE TELHA (PRAIA),38.572300,-9.195100
020801,CH CAPARICA (ESTR MATAS) TREMOCEIRA,38.600400,-9.188140
020802,CH CAPARICA (ESTR MATAS) TREMOCEIRA,38.600500,-9.188140
020803,CH CAPARICA (ESTR MATAS (X) R SOL),38.605000,-9.197490
020804,CH CAPARICA (ESTR MATAS (X) R SOL),38.605000,-9.197540
020805,CH CAPARICA (ESTR MATAS 29),38.607000,-9.198310
020806,CH CAPARICA (ESTR MATAS 29),38.607000,-9.198350
020863,VALE FLORES (R V FLORES 93),38.649800,-9.172010
020881,QUINTINHAS R QTA CIMA (X) R 1º MAIO,38.610700,-9.179220
020882,QUINTINHAS R QTA CIMA (X) R 1º MAIO,38.610758,-9.179250
020887,R HELENA SÁ E COSTA 20,38.606500,-9.181600
020897,R JOLY BRAGA SANTOS 4,38.602204,-9.185483
020921,SOBREDA (LGO 25 DE ABRIL)  MINIMERCADO,38.646900,-9.191890
020922,R LUIS TEIXEIRA 49 -  MINIMERCADO,38.646900,-9.191930
020968,PILOTOS (R NUNO TRISTÃO) ESCOLA BÁSICA,38.645600,-9.205290
020983,CORROIOS (R CIDADE LUANDA 86),38.646500,-9.159910
021050,R BORGES CARNEIRO 26,38.615975,-9.199627
021051,R BORGES CARNEIRO 157,38.615924,-9.199528
021060,R MAGALHÃES LIMA 1,38.614364,-9.196843
021061,R MAGALHÃES LIMA 220,38.614412,-9.196803
027997,PRAGAL (AV JOSE C PIRES) ESTAÇÃO,38.666777,-9.179291
029100,COSTA CAPARICA R DR HORÁCIO S LOURO,38.645240,-9.232002
030622,Av D Nuno Álvares Pereira 35,38.758700,-9.244050
030628,Av Amália Rodrigues 32,38.781264,-9.234810
030819,R Barbosa du Bocage 24,38.794000,-9.229280
030887,Av Dr F Pit Santos (X) R C Cast Branco,38.776924,-9.238631
040002,LAVRADIO (AL ARY SANTOS) ROTUNDA,38.662000,-9.054220
040017,LAVRADIO (AL ARY SANTOS) ROTUNDA,38.662400,-9.053690
040025,FIDALGUINHOS,38.652800,-9.047060
040099,R FERNANDO PESSOA,38.592900,-9.003390
040117,COINA (COMP COMERCIAL),38.581500,-9.044650
040142,R MIGUEL BOMBARDA 256,38.654100,-9.067160
040143,BAIRRO 25 DE ABRIL,38.647900,-9.062380
040145,QTA LOMBA (AV ESC FUZ NAV) ESCOLA/CTT,38.644951,-9.060565
040147,PALHAIS (EN10-3) JUNTA FREGUESIA,38.626400,-9.049820
040149,PALHAIS R ALM REIS (EN10-3) ESCOLA PRIM,38.624900,-9.049360
