stop_id,stop_name,stop_name_new,stop_short_name,stop_lat,stop_lon,operational_status,areas,region_id,region_name,district_id,district_name,municipality_id,municipality_name,parish_id,parish_name,locality,jurisdiction,stop_code,tts_stop_name,platform_code,parent_station,location_type,stop_url,has_pole,has_cover,has_shelter,shelter_code,shelter_maintainer,has_mupi,has_bench,has_trash_bin,has_lighting,has_electricity,docking_bay_type,last_infrastructure_maintenance,last_infrastructure_check,has_stop_sign,has_flag,flag_maintainer,has_pip_static,has_pip_audio,pip_audio_code,has_pip_realtime,pip_realtime_code,has_h2oa_signage,has_schedules,has_tactile_schedules,has_network_map,last_schedules_maintenance,last_schedules_check,last_flag_maintenance,last_flag_check,has_sidewalk,sidewalk_type,has_crossing,has_flat_access,has_wide_access,has_tactile_access,has_abusive_parking,wheelchair_boarding,last_accessibility_maintenance,last_accessibility_check,near_health_clinic,near_hospital,near_university,near_school,near_police_station,near_fire_station,near_shopping,near_historic_building,near_transit_office,near_beach,subway,light_rail,train,boat,airport,bike_sharing,bike_parking,car_parking
10001,Rua Carlos Manuel Rodrigues Francisco (Escola),Rua Carlos Manuel Rodrigues Francisco (Escola),R. Carlos Manuel Rodrigues Francisco (Escola),38.754244,-8.959557,ACTIVE,44,PT170,AML,15,Setúbal,1502,Alcochete,,,Alcochete,N/A,10001,Rua Carlos Manuel Rodrigues Francisco ( Escola ),N/A,N/A,0,https://on.carrismetropolitana.pt/stops/010001,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10002,R Carlos M. Francisco 229 (Escola Monte Novo),Rua Carlos Manuel Rodrigues Francisco (Frente Escola),R. Carlos Manuel Rodrigues Francisco (Ft. Escola),38.754572,-8.959615,ACTIVE,44,PT170,AML,15,Setúbal,1502,Alcochete,,,Alcochete,N/A,10002,Rua Carlos M. Francisco 229 ( Escola Monte Novo ),N/A,N/A,0,https://on.carrismetropolitana.pt/stops/010002,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10005,ALCOCHETE (R CIPRIÃO FIGUEIREDO),Rua Doutor Ciprião Figueiredo 13,R. Dr. Ciprião Figueiredo 13,38.754175,-8.961806,ACTIVE,44,PT170,AML,15,Setúbal,1502,Alcochete,,,Alcochete,N/A,10005,Alcochete ( Rua Ciprião Figueiredo ),N/A,N/A,0,https://on.carrismetropolitana.pt/stops/010005,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,Rua Professor Leite Cunha (Biblioteca),R. Prof. Leite Cunha (Biblioteca),38.753196,-8.963687,ACTIVE,44,PT170,AML,15,Setúbal,1502,Alcochete,,,Alcochete,N/A,10007,Alcochete ( Rua Leite Cunha ) Biblioteca,N/A,N/A,0,https://on.carrismetropolitana.pt/stops/010007,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,Rua Professor Leite Cunha 151,R. Prof. Leite Cunha 151,38.753271,-8.963504,ACTIVE,44,PT170,AML,15,Setúbal,1502,Alcochete,,,Alcochete,N/A,10008,Alcochete ( Rua Leite Cunha ) Biblioteca,N/A,N/A,0,https://on.carrismetropolitana.pt/stops/010008,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,Escola Básica El Rei D. Manuel I,Escola Básica El Rei D. Manuel I,38.750706,-8.962749,ACTIVE,44,PT170,AML,15,Setúbal,1502,Alcochete,,,Alcochete,N/A,10009,Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro,N/A,N/A,0,https://on.carrismetropolitana.pt/stops/010009,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,Escola Básica El Rei D. Manuel I,Escola Básica El Rei D. Manuel I,38.751002,-8.962783,ACTIVE,44,PT170,AML,15,Setúbal,1502,Alcochete,,,Alcochete,N/A,10010,Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro,N/A,N/A,0,https://on.carrismetropolitana.pt/stops/010010,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),Rua da Escola Secundária (X) Rua Artur Garrett,R. da Escola Secundária (X) R. Artur Garrett,38.748855,-8.962159,ACTIVE,44,PT170,AML,15,Setúbal,1502,Alcochete,,,Alcochete,N/A,10011,Alcochete ( Rua José Grilo Evangelista ),N/A,N/A,0,https://on.carrismetropolitana.pt/stops/010011,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),Rua da Escola Secundária (X) Rua Manuel Gomes da Mestre,R. da Escola Secundária (X) R. Manuel Gomes da Mestre,38.748866,-8.961929,ACTIVE,44,PT170,AML,15,Setúbal,1502,Alcochete,,,Alcochete,N/A,10012,Alcochete ( Rua José Grilo Evangelista ),N/A,N/A,0,https://on.carrismetropolitana.pt/stops/010012,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013,ALCOCHETE (R COOPERAÇÃO 27),Rua da Cooperação L11,R. da Cooperação L11,38.748733,-8.966155,ACTIVE,44,PT170,AML,15,Setúbal,1502,Alcochete,,,Alcochete,N/A,10013,Alcochete ( Rua Cooperação 27 ),N/A,N/A,0,https://on.carrismetropolitana.pt/stops/010013,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
