code,new_name
010001,"Rua Carlos Manuel Rodrigues Francisco (Escola)"
010038,"Rua das Alfazemas (X) Rua dos Alecrins"
010081,"Rua do Salineiro (X) Rua Capitão Salgueiro Maia"
010089,"Estrada Municípal 501 (X) Rua da Pacheca"
010121,"Rua do Aceiro Frente Lote 7"
010122,"Rua do Aceiro 8"
010124,"Rua do Aceiro (Frente Fábrica da Cortiça)"
010134,"Estrada Nacional 4 (X) Rua do Aceiro"
010152,"Estrada Nacional 4 (Monte Laranjo)"
010157,"Estrada Nacional 5 (Agro Albuquerque)"
010158,"Estrada Nacional 5 (Agro Albuquerque)"
010161,"Rua Padre Cruz 3"
010175,"Rua do Vale da Maçaroca (Zona Industrial)"
010176,"Rua Doutor Manuel da Cruz Junior 128"
010177,"Rua Doutor Manuel da Cruz Junior Frente 128"
010178,"Rua da Quinta da Praia (X) Rua Bento Jesus Caraça"
010179,"Rua Conde de Vale de Reis Frente 10"
010180,"Praça José Coelho 2"
040012,"Avenida da Liberdade 17"
040013,"Barreiro (Terminal) P10"
040020,"Barreiro (Terminal) P11"
040023,"Rua da Amizade (Frente Creche)"
040024,"Barreiro (Terminal) P13"
040026,"Barreiro (Terminal) P14"
040038,"Rua David Mourão Ferreira 40"
040081,"Rua Miguel Bombarda 194"
040091,"Estrada Municipal 510 19"
040129,"Rua 1º de Maio Frente 1"
040130,"Largo 25 de Abril Frente 12"
040131,"Estrada Nacional 10 (Posto Combustíveis)"
040135,"Estrada Nacional 10 (Frente Posto Combustíveis)"
040136,"Rua dos Fazendeiros (Centro de Jardinagem)"
040138,"Rua dos Fazendeiros (Frente Centro de Jardinagem)"
090060,"Rua Eça de Queirós Frente 7"
090061,""Escola Básica 2, 3 Fragata de Tejo""
090065,"Rua da Glória (Frentt Quinta da Freira)"
090095,""Frente Escola Básica 2, 3 Fragata de Tejo""
090097,"Rua Classe Operária Frente 23"
090099,"Estrada Nacional 11 13"
090112,"Rua João de Deus (Igreja)"
090121,"Estrada Municípal 1022 (Bairro da Remôa)"
090165,"Rua da Juventude (Cemitério)"
090172,"Rua do Povo Unido (Supermercado)"
090178,"Estrada Nacional 11 (X) Rua António Aleixo"
090191,"Estrada Nacional 11 (Supermercado)"
090197,"Estrada Nacional 11 2"
090217,"Avenida 1º de Maio (Campo de Jogos)"
090272,"Estrada Regional 11 (Comércio Automóvel)"
090300,"Estrada Municípal 510 (X) Rua 5 de Outubro"
090315,"Estrada Municípal 1024 (Frente Quinta Cruz do Campo)"
090316,"Estrada Municípal 1024 (Quinta Cruz do Campo)"
090317,"Rua dos Pomares (Quinta das Laranjeiras)"
090318,"Rua dos Pomares (Frente Quinta das Laranjeiras)"
090319,"Rua dos Pomares (X) Rua Mário Sacramento"
099938,"Rua Eduardo Duarte Nunes"
100001,"Rua Dom João de Castro 4"
100008,"Rua José Joaquim Marques (X) Rua Alexandre Bell"
100011,"Rua José Joaquim Marques 91"
100012,"Estrada Nacional 10 Frente (X) Alameda dos Moinhos"
100013,"Montijo (Terminal) P1"
100014,"Estrada Nacional 119 (X) Alameda dos Moínhos"
100038,"Avenida Pedro Nunes (Escola)"
100081,"Avenida dos Pescadores 70"
100129,"Rua Cidade Guimarães Frente 190"
100130,"Rua Cidade Guimarães (X) Rua Cidade de Coimbra"
100131,"Estrada do Seixalinho (Frente Vivenda Teigão)"
100132,"Estrada do Seixalinho (Vivenda Teigão)"
