stop_id,lat,lon,shelter_code,municipio
20371,38.66333,-9.21272,PT-ALM-AB-00104,Almada
20433,38.65427,-9.21818,PT-ALM-AB-00105,Almada
20445,38.65362,-9.21805,PT-ALM-AB-00106,Almada
20319,38.656326,-9.201882,PT-ALM-AB-00108,Almada
20357,38.6596,-9.20245,PT-ALM-AB-00109,Almada
20449,38.6879,-9.1467,PT-ALM-AB-00136,Almada
20959,38.6873752,-9.1471967,PT-ALM-AB-00137,Almada
21007,38.6873752,-9.1471967,PT-ALM-AB-00138,Almada
20113,38.6873752,-9.1471967,PT-ALM-AB-00139,Almada
20037,38.6873752,-9.1471967,PT-ALM-AB-00140,Almada
20429,38.6873752,-9.1471967,PT-ALM-AB-00141,Almada
20955,38.6873752,-9.1471967,PT-ALM-AB-00142,Almada
20403,38.6873752,-9.1471967,PT-ALM-AB-00143,Almada
20973,38.6873752,-9.1471967,PT-ALM-AB-00144,Almada
20489,38.6873752,-9.1471967,PT-ALM-AB-00145,Almada
20075,38.66383,-9.19012,PT-ALM-AB-00149,Almada
20309,38.6646,-9.1972,PT-ALM-AB-00150,Almada
20941,38.6712,-9.1779,PT-ALM-AB-00153,Almada
20308,38.66562,-9.19507,PT-ALM-AB-00154,Almada
20314,38.66402,-9.20358,PT-ALM-AB-00155,Almada
20643,38.6471,-9.2238,PT-ALM-AB-00156,Almada
20361,38.6654,-9.19475,PT-ALM-AB-00159,Almada
20317,38.65962,-9.20313,PT-ALM-AB-00185,Almada
20451,38.64813,-9.2351,PT-ALM-AB-00186,Almada
20454,38.65108,-9.23672,PT-ALM-AB-00187,Almada
20469,38.65322,-9.2377,PT-ALM-AB-00188,Almada
20471,38.65793,-9.24032,PT-ALM-AB-00189,Almada
20573,38.66063,-9.2417,PT-ALM-AB-00190,Almada
20575,38.66283,-9.24288,PT-ALM-AB-00191,Almada
20565,38.66217,-9.24282,PT-ALM-AB-00192,Almada
20571,38.66042,-9.24187,PT-ALM-AB-00193,Almada
20463,38.65777,-9.2406,PT-ALM-AB-00194,Almada
20465,38.65452,-9.2387,PT-ALM-AB-00195,Almada
20453,38.6509,-9.23678,PT-ALM-AB-00196,Almada
20579,38.6691,-9.23862,PT-ALM-AB-00197,Almada
20389,38.67105,-9.23182,PT-ALM-AB-00198,Almada
21017,38.64044,-9.23024,PT-ALM-AB-00199,Almada
21018,38.64037,-9.23042,PT-ALM-AB-00200,Almada
20639,38.64363,-9.23273,PT-ALM-AB-00201,Almada
20002,38.64388,-9.23285,PT-ALM-AB-00202,Almada
20577,38.66512,-9.24265,PT-ALM-AB-00203,Almada
20563,38.6652,-9.24283,PT-ALM-AB-00204,Almada
20385,38.67385,-9.23158,PT-ALM-AB-00205,Almada
24855,38.674,-9.23177,PT-ALM-AB-00206,Almada
20387,38.67278,-9.23223,PT-ALM-AB-00208,Almada
20641,38.64665,-9.23067,PT-ALM-AB-00210,Almada
20561,38.66872,-9.23915,PT-ALM-AB-00211,Almada
20539,38.66985,-9.2332,PT-ALM-AB-00212,Almada
20559,38.67073,-9.23633,PT-ALM-AB-00213,Almada
20254,38.66745,-9.19123,PT-ALM-AB-00217,Almada
20255,38.66767,-9.18828,PT-ALM-AB-00219,Almada
20256,38.66787,-9.18819,PT-ALM-AB-00221,Almada
20746,38.67445,-9.16227,PT-ALM-AB-00223,Almada
20072,38.66781,-9.16436,PT-ALM-AB-00224,Almada
20083,38.6777,-9.16172,PT-ALM-AB-00225,Almada
20058,38.67732,-9.15625,PT-ALM-AB-00226,Almada
20057,38.67737,-9.1559,PT-ALM-AB-00227,Almada
20109,38.67815,-9.15352,PT-ALM-AB-00228,Almada
20112,38.67952,-9.15288,PT-ALM-AB-00229,Almada
20059,38.67912,-9.15677,PT-ALM-AB-00230,Almada
20495,38.67682,-9.15145,PT-ALM-AB-00231,Almada
20740,38.67145,-9.15685,PT-ALM-AB-00232,Almada
20063,38.67564,-9.16377,PT-ALM-AB-00233,Almada
20100,38.66898,-9.16231,PT-ALM-AB-00234,Almada
20088,38.65922,-9.17327,PT-ALM-AB-00235,Almada
20069,38.66879,-9.15943,PT-ALM-AB-00237,Almada
21011,38.66828,-9.15955,PT-ALM-AB-00238,Almada
20099,38.66893,-9.16217,PT-ALM-AB-00239,Almada
20407,38.67378,-9.16982,PT-ALM-AB-00240,Almada
20033,38.68383,-9.15035,PT-ALM-AB-00241,Almada
20041,38.68403,-9.15023,PT-ALM-AB-00242,Almada
20031,38.68228,-9.15217,PT-ALM-AB-00243,Almada
20199,38.68248,-9.15253,PT-ALM-AB-00244,Almada
20039,38.68503,-9.14733,PT-ALM-AB-00245,Almada
20405,38.6756,-9.16688,PT-ALM-AB-00254,Almada
20290,38.67328,-9.17256,PT-ALM-AB-00255,Almada
20066,38.67435,-9.16193,PT-ALM-AB-00256,Almada
20081,38.67375,-9.16155,PT-ALM-AB-00257,Almada
20105,38.67391,-9.15902,PT-ALM-AB-00258,Almada
20107,38.67586,-9.15787,PT-ALM-AB-00259,Almada
20115,38.6818,-9.15242,PT-ALM-AB-00261,Almada
20064,38.67575,-9.16384,PT-ALM-AB-00262,Almada
20492,38.6843,-9.14713,PT-ALM-AB-00263,Almada
20494,38.68013,-9.14953,PT-ALM-AB-00264,Almada
20493,38.67993,-9.14988,PT-ALM-AB-00265,Almada
20496,38.67687,-9.15155,PT-ALM-AB-00266,Almada
20497,38.67343,-9.15452,PT-ALM-AB-00267,Almada
20535,38.67271,-9.155,PT-ALM-AB-00268,Almada
20533,38.67068,-9.15732,PT-ALM-AB-00269,Almada
20500,38.66389,-9.15977,PT-ALM-AB-00271,Almada
20943,38.66018,-9.15688,PT-ALM-AB-00272,Almada
20681,38.6566,-9.15438,PT-ALM-AB-00273,Almada
20684,38.65102,-9.15303,PT-ALM-AB-00274,Almada
20944,38.66015,-9.15697,PT-ALM-AB-00275,Almada
20425,38.67348,-9.16999,PT-ALM-AB-00277,Almada
20427,38.67517,-9.16732,PT-ALM-AB-00279,Almada
20683,38.65102,-9.15315,PT-ALM-AB-00281,Almada
20106,38.67408,-9.15907,PT-ALM-AB-00282,Almada
20499,38.66415,-9.15965,PT-ALM-AB-00283,Almada
20071,38.66795,-9.16436,PT-ALM-AB-00285,Almada
21019,38.66805,-9.16478,PT-ALM-AB-00287,Almada
20061,38.67748,-9.1628,PT-ALM-AB-00288,Almada
20117,38.67543,-9.15838,PT-ALM-AB-00289,Almada
20077,38.66773,-9.1594,PT-ALM-AB-00291,Almada
20009,38.6765,-9.17107,PT-ALM-AB-00294,Almada
20456,38.6521,-9.2349,PT-ALM-AB-00297,Almada
20455,38.6521,-9.2348,PT-ALM-AB-00298,Almada
20458,38.6546,-9.2358,PT-ALM-AB-00299,Almada
20457,38.6547,-9.2359,PT-ALM-AB-00300,Almada
20460,38.6563,-9.2369,PT-ALM-AB-00301,Almada
20461,38.6584,-9.2399,PT-ALM-AB-00303,Almada
20462,38.6584,-9.2401,PT-ALM-AB-00304,Almada
20647,38.6459,-9.2165,PT-ALM-AB-00305,Almada
20649,38.6445,-9.2111,PT-ALM-AB-00306,Almada
20650,38.6446,-9.2111,PT-ALM-AB-00307,Almada
20712,38.6421,-9.1931,PT-ALM-AB-00308,Almada
