objectid;stop_id;stop_name;stop_short_name;tts_stop_name;stop_lat;stop_lon;location_type;platform_code;parent_station;stop_area_1;stop_area_2;stop_area_3;stop_area_4;address;postal_code;jurisdiction;district_description;municipality;municipality_description;parish_description;region;stepp_id;datainicioutilizacao;datafimutilizacao;datainicioversao;datafimversao;estadoparagem;last_stop_update;has_pole;pole_material;has_shelter;shelter_code;shelter_maintainer;has_mupi;has_bench;has_trash_bin;has_lighting;has_electricity;docking_bay_type;last_infrastructure_maintenance;last_infrastructure_check;has_stop_sign;stop_sign_maintainer;has_pole_frame;shelter_frame_area_cm;has_pip_real_time;pip_real_time_code;has_h2oa_signage;has_schedules;has_network_map;last_schedules_maintenance;last_schedules_check;last_stop_sign_maintenance;last_stop_sign_check;has_sidewalk;sidewalk_type;has_tactile_schedules;stop_access_type;has_crosswalk;has_tactile_pavement;has_abusive_parking;has_audio_stop_info;wheelchair_boarding;last_accessibility_check;near_health_clinic;near_hospital;near_university;near_school;near_police_station;near_fire_station;near_shopping;near_historic_building;near_transit_office;light_rail;subway;train;boat;airport;bike_sharing;bike_parking;car_parking;stop_remarks;utilizadorcriacao;datacriacao;utilizadoratualizacao;dataatualizacao;district;locality;parish;globalid;x;y
38809;10001;R Carlos M. R. Francisco 229 (Escola Monte Novo);;Rua Carlos Manuel Rodrigues Francisco 229 Escola Monte Novo;38.754244000000000;-8.959557000000000;;;;;;;;Rua Carlos Manuel Rodrigues Francisco, 2890-042, Alcochete, Setúbal;2890-042;;Setúbal;1502;Alcochete;Alcochete;PT170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;SIGCREATOR;09/11/2023 10:11;SIGCREATOR;09/11/2023 10:21;15;Alcochete;150201;{6757F10E-B9CB-4B15-94A7-A6D06AB003E0};-997373.322999998927116;4686530.021099999547005
38810;10002;R Carlos M. R. Francisco 229 (Escola Monte Novo);;Rua Carlos Manuel Rodrigues Francisco 229 Escola Monte Novo;38.754572000000003;-8.959614999999999;;;;;;;;Rua Carlos Manuel Rodrigues Francisco 16, 2890-042, Alcochete, Setúbal;2890-042;;Setúbal;1502;Alcochete;Alcochete;PT170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;SIGCREATOR;09/11/2023 10:11;SIGCREATOR;09/11/2023 10:21;15;Alcochete;150201;{1007624E-AE47-4888-9DE6-75001A2768C9};-997379.779500000178814;4686576.842200003564358
38811;10005;ALCOCHETE (R CIPRIÃO FIGUEIREDO);;Alcochete ( Rua Ciprião Figueiredo );38.754175000000004;-8.961806000000001;;;;;;;;Rua Doutor Ciprião de Figueiredo 13, 2890-071, Alcochete, Setúbal;2890-071;;Setúbal;1502;Alcochete;Alcochete;PT170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;SIGCREATOR;09/11/2023 10:11;SIGCREATOR;09/11/2023 10:21;15;Alcochete;150201;{547DAD07-3A4A-4AE9-A94F-B62BFDC4A483};-997623.680500000715256;4686520.171499997377396
38812;10007;ALCOCHETE (R LEITE CUNHA) BIBLIOTECA;;Alcochete ( Rua Leite Cunha ) Biblioteca;38.753196000000003;-8.963687000000000;;;;;;;;Rua Professor Leite da Cunha, 2890-087, Alcochete, Setúbal;2890-087;;Setúbal;1502;Alcochete;Alcochete;PT170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;SIGCREATOR;09/11/2023 10:11;SIGCREATOR;09/11/2023 10:21;15;Alcochete;150201;{55A3B63C-FE0D-49AA-83E5-8F9E52A98ED7};-997833.072500001639128;4686380.423399999737740
38813;10008;ALCOCHETE (R LEITE CUNHA) BIBLIOTECA;;Alcochete ( Rua Leite Cunha ) Biblioteca;38.753270999999998;-8.963504000000000;;;;;;;;Rua Professor Leite da Cunha 151, 2890-087, Alcochete, Setúbal;2890-087;;Setúbal;1502;Alcochete;Alcochete;PT170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;SIGCREATOR;09/11/2023 10:11;SIGCREATOR;09/11/2023 10:21;15;Alcochete;150201;{3E9F92DB-2FB5-42B2-9707-41A1EF705A8E};-997812.701000001281500;4686391.129299998283386
38814;10009;ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I;;Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro;38.750706000000001;-8.962749000000001;;;;;;;;Estrada da Atalaia, 2890-151, Alcochete, Setúbal;2890-151;;Setúbal;1502;Alcochete;Alcochete;PT170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;SIGCREATOR;09/11/2023 10:11;SIGCREATOR;09/11/2023 10:21;15;Alcochete;150201;{B209C971-88D6-4E65-B5B9-F4AFFECCB96A};-997728.654800001531839;4686024.994999997317791
38815;10010;ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I;;Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro;38.751002000000000;-8.962783000000000;;;;;;;;Estrada da Atalaia 14, 2890-151, Alcochete, Setúbal;2890-151;;Setúbal;1502;Alcochete;Alcochete;PT170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;SIGCREATOR;09/11/2023 10:11;SIGCREATOR;09/11/2023 10:21;15;Alcochete;150201;{105E6794-EDFC-4C41-8899-A1252A47AB24};-997732.439699999988079;4686067.246100001037121
38816;10011;ALCOCHETE (R JOSÉ GRILO EVANGELISTA);;Alcochete ( Rua José Grilo Evangelista );38.748855000000006;-8.962159000000000;;;;;;;;Rua Artur Garrett 53, 2890-010, Alcochete, Setúbal;2890-010;;Setúbal;1502;Alcochete;Alcochete;PT170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;SIGCREATOR;09/11/2023 10:11;SIGCREATOR;09/11/2023 10:21;15;Alcochete;150201;{877938E1-CFB3-42EC-987B-7068C58D1007};-997662.976300001144409;4685760.787000000476837
38817;10012;ALCOCHETE (R JOSÉ GRILO EVANGELISTA);;Alcochete ( Rua José Grilo Evangelista );38.748866000000000;-8.961929000000000;;;;;;;;Vivenda Lena e Toni, Estrada da Atalaia, 2890-151, Alcochete, Setúbal;2890-151;;Setúbal;1502;Alcochete;Alcochete;PT170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;SIGCREATOR;09/11/2023 10:11;SIGCREATOR;09/11/2023 10:21;15;Alcochete;150201;{482C574A-FD1F-4748-AE78-82249BCEDDBD};-997637.372800000011921;4685762.357100002467632
38818;10013;ALCOCHETE (R COOPERAÇÃO 27);;Alcochete ( Rua Cooperação 27 );38.748733000000001;-8.966155000000001;;;;;;;;Rua da Cooperação 1, 2890-105, Valbom, Alcochete, Setúbal;2890-105;;Setúbal;1502;Alcochete;Alcochete;PT170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;SIGCREATOR;09/11/2023 10:11;SIGCREATOR;09/11/2023 10:21;15;Alcochete;150201;{30C2F9A9-6E43-422D-91AE-C328ACC1CF94};-998107.809000000357628;4685743.373199999332428
